Date;High;Low;Open;Close;Volume;Adj Close;High_lastDay;Low_lastDay;Open_lastDay;Close_lastDay;Volume_lastDay;Adj Close_lastDay
42914;21478,75;21372,35938;21372,35938;21454,60938;271510000;21454,60938;21440,59961;21310,66016;21411,18945;21310,66016;292170000;21310,66016
42915;21487,38086;21197,08008;21487,38086;21287,0293;336750000;21287,0293;21478,75;21372,35938;21372,35938;21454,60938;271510000;21454,60938
42916;21426,11914;21325,08008;21348,59961;21349,63086;313260000;21349,63086;21487,38086;21197,08008;21487,38086;21287,0293;336750000;21287,0293
42919;21562,75;21391,71094;21392,30078;21479,26953;186810000;21479,26953;21426,11914;21325,08008;21348,59961;21349,63086;313260000;21349,63086
42921;21505,35938;21404,75977;21492,83008;21478,16992;273690000;21478,16992;21562,75;21391,71094;21392,30078;21479,26953;186810000;21479,26953
42922;21433,09961;21305,38086;21423,92969;21320,03906;320450000;21320,03906;21505,35938;21404,75977;21492,83008;21478,16992;273690000;21478,16992
42923;21425,82031;21350,7207;21354,66016;21414,33984;242240000;21414,33984;21433,09961;21305,38086;21423,92969;21320,03906;320450000;21320,03906
42926;21446,39063;21371,10938;21381,23047;21408,51953;270340000;21408,51953;21425,82031;21350,7207;21354,66016;21414,33984;242240000;21414,33984
42927;21441,61914;21279,30078;21410,16992;21409,07031;247570000;21409,07031;21446,39063;21371,10938;21381,23047;21408,51953;270340000;21408,51953
42928;21580,78906;21467,92969;21467,92969;21532,14063;267870000;21532,14063;21441,61914;21279,30078;21410,16992;21409,07031;247570000;21409,07031
42929;21568,7207;21512,35938;21537,18945;21553,08984;232270000;21553,08984;21580,78906;21467,92969;21467,92969;21532,14063;267870000;21532,14063
42930;21681,5293;21521,7207;21532,76953;21637,74023;235590000;21637,74023;21568,7207;21512,35938;21537,18945;21553,08984;232270000;21553,08984
42933;21661,81055;21617,66016;21633,9707;21629,7207;244780000;21629,7207;21681,5293;21521,7207;21532,76953;21637,74023;235590000;21637,74023
42934;21589,93945;21471,14063;21589,93945;21574,73047;251110000;21574,73047;21661,81055;21617,66016;21633,9707;21629,7207;244780000;21629,7207
42935;21640,75;21565,83984;21569,25;21640,75;253040000;21640,75;21589,93945;21471,14063;21589,93945;21574,73047;251110000;21574,73047
42936;21661,91016;21576,96094;21641,53906;21611,7793;313950000;21611,7793;21640,75;21565,83984;21569,25;21640,75;253040000;21640,75
42937;21592,60938;21503,7793;21591,7207;21580,07031;362830000;21580,07031;21661,91016;21576,96094;21641,53906;21611,7793;313950000;21611,7793
42940;21577,7793;21496,13086;21577,7793;21513,16992;284080000;21513,16992;21592,60938;21503,7793;21591,7207;21580,07031;362830000;21580,07031
42941;21670,61914;21577,36914;21638,56055;21613,42969;304300000;21613,42969;21577,7793;21496,13086;21577,7793;21513,16992;284080000;21513,16992
42942;21742,69922;21683,28906;21690,38086;21711,00977;278240000;21711,00977;21670,61914;21577,36914;21638,56055;21613,42969;304300000;21613,42969
42943;21798,4707;21687,84961;21717,41992;21796,55078;407320000;21796,55078;21742,69922;21683,28906;21690,38086;21711,00977;278240000;21711,00977
42944;21841,17969;21756,11914;21787,50977;21830,31055;285630000;21830,31055;21798,4707;21687,84961;21717,41992;21796,55078;407320000;21796,55078
42947;21929,80078;21861,71094;21863,39063;21891,11914;307610000;21891,11914;21841,17969;21756,11914;21787,50977;21830,31055;285630000;21830,31055
42948;21990,96094;21940,81055;21961,41992;21963,91992;328410000;21963,91992;21929,80078;21861,71094;21863,39063;21891,11914;307610000;21891,11914
42949;22036,09961;21967,46094;22004,35938;22016,24023;336820000;22016,24023;21990,96094;21940,81055;21961,41992;21963,91992;328410000;21963,91992
42950;22044,84961;21991,32031;22007,58008;22026,09961;278730000;22026,09961;22036,09961;21967,46094;22004,35938;22016,24023;336820000;22016,24023
42951;22092,81055;22024,64063;22058,39063;22092,81055;253640000;22092,81055;22044,84961;21991,32031;22007,58008;22026,09961;278730000;22026,09961
42954;22121,15039;22081,9707;22100,19922;22118,41992;213010000;22118,41992;22092,81055;22024,64063;22058,39063;22092,81055;253640000;22092,81055
42955;22179,10938;22057,28906;22095,14063;22085,33984;262000000;22085,33984;22121,15039;22081,9707;22100,19922;22118,41992;213010000;22118,41992
42956;22057,18945;21996,68945;22022,33984;22048,69922;277800000;22048,69922;22179,10938;22057,28906;22095,14063;22085,33984;262000000;22085,33984
42957;21988,19922;21843,93945;21988,19922;21844,00977;303310000;21844,00977;22057,18945;21996,68945;22022,33984;22048,69922;277800000;22048,69922
42958;21911,08984;21842,74023;21883,32031;21858,32031;237790000;21858,32031;21988,19922;21843,93945;21988,19922;21844,00977;303310000;21844,00977
42961;22019,23047;21945,64063;21945,64063;21993,71094;235030000;21993,71094;21911,08984;21842,74023;21883,32031;21858,32031;237790000;21858,32031
42962;22038,91992;21971,48047;22029,91016;21998,99023;269070000;21998,99023;22019,23047;21945,64063;21945,64063;21993,71094;235030000;21993,71094
42963;22085,71094;22002,4707;22031,92969;22024,86914;264920000;22024,86914;22038,91992;21971,48047;22029,91016;21998,99023;269070000;21998,99023
42964;21984,74023;21750,32031;21984,74023;21750,73047;311030000;21750,73047;22085,71094;22002,4707;22031,92969;22024,86914;264920000;22024,86914
42965;21793,34961;21641,63086;21724,88086;21674,50977;309070000;21674,50977;21984,74023;21750,32031;21984,74023;21750,73047;311030000;21750,73047
42968;21718,74023;21600,33984;21671,35938;21703,75;277880000;21703,75;21793,34961;21641,63086;21724,88086;21674,50977;309070000;21674,50977
42969;21912,83008;21738,13086;21739,7793;21899,89063;244980000;21899,89063;21718,74023;21600,33984;21671,35938;21703,75;277880000;21703,75
42970;21866,66016;21808,39063;21850,26953;21812,08984;234810000;21812,08984;21912,83008;21738,13086;21739,7793;21899,89063;244980000;21899,89063
42971;21870,10938;21765,82031;21839,90039;21783,40039;228480000;21783,40039;21866,66016;21808,39063;21850,26953;21812,08984;234810000;21812,08984
42972;21906,85938;21812,81055;21819,08008;21813,66992;217570000;21813,66992;21870,10938;21765,82031;21839,90039;21783,40039;228480000;21783,40039
42975;21861,49023;21767,93945;21832,5;21808,40039;218740000;21808,40039;21906,85938;21812,81055;21819,08008;21813,66992;217570000;21813,66992
42976;21879,2207;21673,58008;21718;21865,36914;227340000;21865,36914;21861,49023;21767,93945;21832,5;21808,40039;218740000;21808,40039
42977;21914,25977;21839,4707;21859,75977;21892,42969;242840000;21892,42969;21879,2207;21673,58008;21718;21865,36914;227340000;21865,36914
42978;21985,75977;21910,5;21936,00977;21948,09961;376790000;21948,09961;21914,25977;21839,4707;21859,75977;21892,42969;242840000;21892,42969
42979;22038,9707;21974,91016;21981,76953;21987,56055;256240000;21987,56055;21985,75977;21910,5;21936,00977;21948,09961;376790000;21948,09961
42983;21921,08984;21709,63086;21912,36914;21753,31055;332840000;21753,31055;22038,9707;21974,91016;21981,76953;21987,56055;256240000;21987,56055
42984;21849,24023;21794,07031;21815,75977;21807,64063;318760000;21807,64063;21921,08984;21709,63086;21912,36914;21753,31055;332840000;21753,31055
42985;21850,00977;21745,71094;21820,38086;21784,7793;333810000;21784,7793;21849,24023;21794,07031;21815,75977;21807,64063;318760000;21807,64063
42986;21846,63086;21731,11914;21764,42969;21797,78906;289400000;21797,78906;21850,00977;21745,71094;21820,38086;21784,7793;333810000;21784,7793
42989;22067,09961;21927,78906;21927,78906;22057,36914;312770000;22057,36914;21846,63086;21731,11914;21764,42969;21797,78906;289400000;21797,78906
42990;22134,57031;22087,08984;22090,56055;22118,85938;364580000;22118,85938;22067,09961;21927,78906;21927,78906;22057,36914;312770000;22057,36914
42991;22158,17969;22095,78906;22103,4707;22158,17969;291890000;22158,17969;22134,57031;22087,08984;22090,56055;22118,85938;364580000;22118,85938
42992;22216,43945;22135,25977;22144,96094;22203,48047;297780000;22203,48047;22158,17969;22095,78906;22103,4707;22158,17969;291890000;22158,17969
42993;22275,01953;22214,51953;22252,43945;22268,33984;527540000;22268,33984;22216,43945;22135,25977;22144,96094;22203,48047;297780000;22203,48047
42996;22355,61914;22283,34961;22297,91992;22331,34961;302740000;22331,34961;22275,01953;22214,51953;22252,43945;22268,33984;527540000;22268,33984
42997;22386,00977;22340,71094;22349,69922;22370,80078;295570000;22370,80078;22355,61914;22283,34961;22297,91992;22331,34961;302740000;22331,34961
42998;22413,25977;22314,67969;22351,38086;22412,58984;334560000;22412,58984;22386,00977;22340,71094;22349,69922;22370,80078;295570000;22370,80078
42999;22419,50977;22356,55078;22414,01953;22359,23047;287390000;22359,23047;22413,25977;22314,67969;22351,38086;22412,58984;334560000;22412,58984
43000;22364,31055;22299,58008;22334,07031;22349,58984;297140000;22349,58984;22419,50977;22356,55078;22414,01953;22359,23047;287390000;22359,23047
43003;22359,88086;22219,10938;22320,4707;22296,08984;332430000;22296,08984;22364,31055;22299,58008;22334,07031;22349,58984;297140000;22349,58984
43004;22369,34961;22279,51953;22322,0293;22284,32031;285990000;22284,32031;22359,88086;22219,10938;22320,4707;22296,08984;332430000;22296,08984
43005;22371,09961;22254,92969;22330,92969;22340,71094;342900000;22340,71094;22369,34961;22279,51953;22322,0293;22284,32031;285990000;22284,32031
43006;22394,74023;22288,9707;22306,83008;22381,19922;263010000;22381,19922;22371,09961;22254,92969;22330,92969;22340,71094;342900000;22340,71094
43007;22405,63086;22332,96094;22358,4707;22405,08984;274790000;22405,08984;22394,74023;22288,9707;22306,83008;22381,19922;263010000;22381,19922
43010;22559,38086;22416;22423,4707;22557,59961;268530000;22557,59961;22405,63086;22332,96094;22358,4707;22405,08984;274790000;22405,08984
43011;22646,32031;22562,90039;22564,44922;22641,66992;238830000;22641,66992;22559,38086;22416;22423,4707;22557,59961;268530000;22557,59961
43012;22685,93945;22632,80078;22645,66992;22661,64063;235730000;22661,64063;22646,32031;22562,90039;22564,44922;22641,66992;238830000;22641,66992
43013;22777,03906;22655,14063;22669,08008;22775,39063;246400000;22775,39063;22685,93945;22632,80078;22645,66992;22661,64063;235730000;22661,64063
43014;22773,66992;22730,84961;22762,0293;22773,66992;221450000;22773,66992;22777,03906;22655,14063;22669,08008;22775,39063;246400000;22775,39063
43017;22803,36914;22739,38086;22779,73047;22761,07031;310770000;22761,07031;22773,66992;22730,84961;22762,0293;22773,66992;221450000;22773,66992
43018;22850,50977;22770,99023;22784,75977;22830,67969;319270000;22830,67969;22803,36914;22739,38086;22779,73047;22761,07031;310770000;22761,07031
43019;22872,89063;22821,66016;22827,65039;22872,89063;316000000;22872,89063;22850,50977;22770,99023;22784,75977;22830,67969;319270000;22830,67969
43020;22884,82031;22821,13086;22854,84961;22841,00977;291790000;22841,00977;22872,89063;22821,66016;22827,65039;22872,89063;316000000;22872,89063
43021;22905,33008;22855,92969;22876,42969;22871,7207;259560000;22871,7207;22884,82031;22821,13086;22854,84961;22841,00977;291790000;22841,00977
43024;22960,11914;22887,11914;22892,91992;22956,96094;247180000;22956,96094;22905,33008;22855,92969;22876,42969;22871,7207;259560000;22871,7207
43025;23002,19922;22948,23047;22952,41016;22997,43945;273090000;22997,43945;22960,11914;22887,11914;22892,91992;22956,96094;247180000;22956,96094
43026;23172,92969;23086,75;23087,13086;23157,59961;271870000;23157,59961;23002,19922;22948,23047;22952,41016;22997,43945;273090000;22997,43945
43027;23167,24023;23052,66992;23107,4707;23163,03906;350400000;23163,03906;23172,92969;23086,75;23087,13086;23157,59961;271870000;23157,59961
43028;23328,83984;23201,7793;23205,17969;23328,63086;474380000;23328,63086;23167,24023;23052,66992;23107,4707;23163,03906;350400000;23163,03906
43031;23368,36914;23273,96094;23348,94922;23273,96094;456830000;23273,96094;23328,83984;23201,7793;23205,17969;23328,63086;474380000;23328,63086
43032;23485,25;23343,23047;23346,7793;23441,75977;406850000;23441,75977;23368,36914;23273,96094;23348,94922;23273,96094;456830000;23273,96094
43033;23451,50977;23251,10938;23431,08984;23329,46094;399560000;23329,46094;23485,25;23343,23047;23346,7793;23441,75977;406850000;23441,75977
43034;23459,83984;23380,89063;23380,89063;23400,85938;370600000;23400,85938;23451,50977;23251,10938;23431,08984;23329,46094;399560000;23329,46094
