Date;High;Low;Open;Close;Volume;Adj Close;High_lastDay;Low_lastDay;Open_lastDay;Close_lastDay;Volume_lastDay;Adj Close_lastDay
37546;885,3499756;860,0200195;860,0200195;879,2000122;1780390000;879,2000122;881,2700195;856,2800293;881,2700195;860,0200195;1585000000;860,0200195
37547;886,6799927;866,5800171;879,2000122;884,3900146;1423100000;884,3900146;885,3499756;860,0200195;860,0200195;879,2000122;1780390000;879,2000122
37550;900,6900024;873,0599976;884,3900146;899,7199707;1447000000;899,7199707;886,6799927;866,5800171;879,2000122;884,3900146;1423100000;884,3900146
37551;899,7199707;882,4000244;899,7199707;890,1599731;1549200000;890,1599731;900,6900024;873,0599976;884,3900146;899,7199707;1447000000;899,7199707
37552;896,1400146;873,8200073;890,1599731;896,1400146;1593900000;896,1400146;899,7199707;882,4000244;899,7199707;890,1599731;1549200000;890,1599731
37553;902,9400024;879;896,1400146;882,5;1700570000;882,5;896,1400146;873,8200073;890,1599731;896,1400146;1593900000;896,1400146
37554;897,710022;877,0300293;882,5;897,6500244;1340400000;897,6500244;902,9400024;879;896,1400146;882,5;1700570000;882,5
37557;907,4400024;886,1500244;897,6500244;890,2299805;1382600000;890,2299805;897,710022;877,0300293;882,5;897,6500244;1340400000;897,6500244
37558;890,6400146;867,9099731;890,2299805;882,1500244;1529700000;882,1500244;907,4400024;886,1500244;897,6500244;890,2299805;1382600000;890,2299805
37559;895,2800293;879,1900024;882,1500244;890,710022;1422300000;890,710022;890,6400146;867,9099731;890,2299805;882,1500244;1529700000;882,1500244
37560;898,8300171;879,75;890,710022;885,7600098;1641300000;885,7600098;895,2800293;879,1900024;882,1500244;890,710022;1422300000;890,710022
37561;903,4199829;877,710022;885,7600098;900,960022;1450400000;900,960022;898,8300171;879,75;890,710022;885,7600098;1641300000;885,7600098
37564;924,5800171;900,960022;900,960022;908,3499756;1645900000;908,3499756;903,4199829;877,710022;885,7600098;900,960022;1450400000;900,960022
37565;915,8300171;904,9099731;908,3499756;915,3900146;1354100000;915,3900146;924,5800171;900,960022;900,960022;908,3499756;1645900000;908,3499756
37566;925,6599731;905;915,3900146;923,7600098;1674000000;923,7600098;915,8300171;904,9099731;908,3499756;915,3900146;1354100000;915,3900146
37567;923,7600098;898,6799927;923,7600098;902,6500244;1466900000;902,6500244;925,6599731;905;915,3900146;923,7600098;1674000000;923,7600098
37568;910,1099854;891,6199951;902,6500244;894,7399902;1446500000;894,7399902;923,7600098;898,6799927;923,7600098;902,6500244;1466900000;902,6500244
37571;894,7399902;874,6300049;894,7399902;876,1900024;1113000000;876,1900024;910,1099854;891,6199951;902,6500244;894,7399902;1446500000;894,7399902
37572;894,2999878;876,1900024;876,1900024;882,9500122;1377100000;882,9500122;894,7399902;874,6300049;894,7399902;876,1900024;1113000000;876,1900024
37573;892,5100098;872,0499878;882,9500122;882,5300293;1463400000;882,5300293;894,2999878;876,1900024;876,1900024;882,9500122;1377100000;882,9500122
37574;904,2700195;882,5300293;882,5300293;904,2700195;1519000000;904,2700195;892,5100098;872,0499878;882,9500122;882,5300293;1463400000;882,5300293
37575;910,210022;895,3499756;904,2700195;909,8300171;1400100000;909,8300171;904,2700195;882,5300293;882,5300293;904,2700195;1519000000;904,2700195
37578;915,9099731;899,4799805;909,8300171;900,3599854;1282600000;900,3599854;910,210022;895,3499756;904,2700195;909,8300171;1400100000;909,8300171
37579;905,4500122;893,0900269;900,3599854;896,7399902;1337400000;896,7399902;915,9099731;899,4799805;909,8300171;900,3599854;1282600000;900,3599854
37580;915,0100098;894,9299927;896,7399902;914,1500244;1517300000;914,1500244;905,4500122;893,0900269;900,3599854;896,7399902;1337400000;896,7399902
37581;935,1300049;914,1500244;914,1500244;933,7600098;2415100000;933,7600098;915,0100098;894,9299927;896,7399902;914,1500244;1517300000;914,1500244
37582;937,2800293;928,4099731;933,7600098;930,5499878;1626800000;930,5499878;935,1300049;914,1500244;914,1500244;933,7600098;2415100000;933,7600098
37585;937,1500244;923,3099976;930,5499878;932,8699951;1574000000;932,8699951;937,2800293;928,4099731;933,7600098;930,5499878;1626800000;930,5499878
37586;932,8699951;912,0999756;932,8699951;913,3099976;1543600000;913,3099976;937,1500244;923,3099976;930,5499878;932,8699951;1574000000;932,8699951
37587;940,4099731;913,3099976;913,3099976;938,8699951;1350300000;938,8699951;932,8699951;912,0999756;932,8699951;913,3099976;1543600000;913,3099976
37589;941,8200073;935,5800171;938,8699951;936,3099976;643460000;936,3099976;940,4099731;913,3099976;913,3099976;938,8699951;1350300000;938,8699951
37592;954,2800293;927,7199707;936,3099976;934,5300293;1612000000;934,5300293;941,8200073;935,5800171;938,8699951;936,3099976;643460000;936,3099976
37593;934,5300293;918,7299805;934,5300293;920,75;1488400000;920,75;954,2800293;927,7199707;936,3099976;934,5300293;1612000000;934,5300293
37594;925,25;909,5100098;920,75;917,5800171;1588900000;917,5800171;934,5300293;918,7299805;934,5300293;920,75;1488400000;920,75
37595;921,4899902;905,9000244;917,5800171;906,5499878;1250200000;906,5499878;925,25;909,5100098;920,75;917,5800171;1588900000;917,5800171
37596;915,4799805;895,960022;906,5499878;912,2299805;1241100000;912,2299805;921,4899902;905,9000244;917,5800171;906,5499878;1250200000;906,5499878
37599;912,2299805;891,9699707;912,2299805;892;1320800000;892;915,4799805;895,960022;906,5499878;912,2299805;1241100000;912,2299805
37600;904,9500122;892;892;904,4500122;1286600000;904,4500122;912,2299805;891,9699707;912,2299805;892;1320800000;892
37601;909,9400024;896,4799805;904,4500122;904,960022;1285100000;904,960022;904,9500122;892;892;904,4500122;1286600000;904,4500122
37602;908,3699951;897;904,960022;901,5800171;1255300000;901,5800171;909,9400024;896,4799805;904,4500122;904,960022;1285100000;904,960022
37603;901,5800171;888,4799805;901,5800171;889,4799805;1330800000;889,4799805;908,3699951;897;904,960022;901,5800171;1255300000;901,5800171
37606;910,4199829;889,4799805;889,4799805;910,4000244;1271600000;910,4000244;901,5800171;888,4799805;901,5800171;889,4799805;1330800000;889,4799805
37607;911,2199707;901,7399902;910,4000244;902,9899902;1251800000;902,9899902;910,4199829;889,4799805;889,4799805;910,4000244;1271600000;910,4000244
37608;902,9899902;887,8200073;902,9899902;891,1199951;1446200000;891,1199951;911,2199707;901,7399902;910,4000244;902,9899902;1251800000;902,9899902
37609;899,1900024;880,3200073;890,0200195;884,25;1385900000;884,25;902,9899902;887,8200073;902,9899902;891,1199951;1446200000;891,1199951
37610;897,789978;884,25;884,25;895,7600098;1782730000;895,7600098;899,1900024;880,3200073;890,0200195;884,25;1385900000;884,25
37613;902,4299927;892,2600098;895,7399902;897,3800049;1112100000;897,3800049;897,789978;884,25;884,25;895,7600098;1782730000;895,7600098
37614;897,3800049;892,289978;897,3800049;892,4699707;458310000;892,4699707;902,4299927;892,2600098;895,7399902;897,3800049;1112100000;897,3800049
37616;903,8900146;887,4799805;892,4699707;889,6599731;721100000;889,6599731;897,3800049;892,289978;897,3800049;892,4699707;458310000;892,4699707
37617;890,460022;873,6199951;889,6599731;875,4000244;758400000;875,4000244;903,8900146;887,4799805;892,4699707;889,6599731;721100000;889,6599731
37620;882,0999756;870,2299805;875,4000244;879,3900146;1057800000;879,3900146;890,460022;873,6199951;889,6599731;875,4000244;758400000;875,4000244
37621;881,9299927;869,4500122;879,3900146;879,8200073;1088500000;879,8200073;882,0999756;870,2299805;875,4000244;879,3900146;1057800000;879,3900146
37623;909,0300293;879,8200073;879,8200073;909,0300293;1229200000;909,0300293;881,9299927;869,4500122;879,3900146;879,8200073;1088500000;879,8200073
37624;911,25;903,0700073;909,0300293;908,5900269;1130800000;908,5900269;909,0300293;879,8200073;879,8200073;909,0300293;1229200000;909,0300293
37627;931,7700195;908,5900269;908,5900269;929,0100098;1435900000;929,0100098;911,25;903,0700073;909,0300293;908,5900269;1130800000;908,5900269
37628;930,8099976;919,9299927;929,0100098;922,9299927;1545200000;922,9299927;931,7700195;908,5900269;908,5900269;929,0100098;1435900000;929,0100098
37629;922,9299927;908,3200073;922,9299927;909,9299927;1467600000;909,9299927;930,8099976;919,9299927;929,0100098;922,9299927;1545200000;922,9299927
37630;928,3099976;909,9299927;909,9299927;927,5700073;1560300000;927,5700073;922,9299927;908,3200073;922,9299927;909,9299927;1467600000;909,9299927
37631;932,8900146;917,6599731;927,5800171;927,5700073;1485400000;927,5700073;928,3099976;909,9299927;909,9299927;927,5700073;1560300000;927,5700073
37634;935,0499878;922,0499878;927,5700073;926,2600098;1396300000;926,2600098;932,8900146;917,6599731;927,5800171;927,5700073;1485400000;927,5700073
37635;931,6599731;921,7199707;926,2600098;931,6599731;1379400000;931,6599731;935,0499878;922,0499878;927,5700073;926,2600098;1396300000;926,2600098
37636;932,5900269;916,7000122;931,6599731;918,2199707;1432100000;918,2199707;931,6599731;921,7199707;926,2600098;931,6599731;1379400000;931,6599731
37637;926,0300293;911,9799805;918,2199707;914,5999756;1534600000;914,5999756;932,5900269;916,7000122;931,6599731;918,2199707;1432100000;918,2199707
37638;914,5999756;899,0200195;914,5999756;901,7800293;1358200000;901,7800293;926,0300293;911,9799805;918,2199707;914,5999756;1534600000;914,5999756
37642;906;887,6199951;901,7800293;887,6199951;1335200000;887,6199951;914,5999756;899,0200195;914,5999756;901,7800293;1358200000;901,7800293
37643;889,7399902;877,6400146;887,6199951;878,3599854;1560800000;878,3599854;906;887,6199951;901,7800293;887,6199951;1335200000;887,6199951
37644;890,25;876,8900146;878,3599854;887,3400269;1744550000;887,3400269;889,7399902;877,6400146;887,6199951;878,3599854;1560800000;878,3599854
37645;887,3400269;859,710022;887,3400269;861,4000244;1574800000;861,4000244;890,25;876,8900146;878,3599854;887,3400269;1744550000;887,3400269
37648;863,9500122;844,25;861,4000244;847,4799805;1435900000;847,4799805;887,3400269;859,710022;887,3400269;861,4000244;1574800000;861,4000244
37649;860,7600098;847,4799805;847,4799805;858,539978;1459100000;858,539978;863,9500122;844,25;861,4000244;847,4799805;1435900000;847,4799805
37650;868,7199707;845,8599854;858,539978;864,3599854;1595400000;864,3599854;860,7600098;847,4799805;847,4799805;858,539978;1459100000;858,539978
